时间（s）,X轴速度值（cm/s）,Y轴速度值（cm/s）,Z轴速度值（cm/s）
-0.500000,0.001000,0.002000,0.001000
-0.499805,0.001000,0.001000,0.002000
-0.499609,0.002000,0.003000,0.000000
-0.499414,0.002000,0.003000,0.002000
-0.499219,0.002000,0.002000,0.001000
-0.499023,0.002000,0.002000,0.002000
-0.498828,0.001000,0.002000,0.000000
-0.498633,0.002000,0.001000,0.002000
-0.498438,0.001000,0.001000,0.001000
-0.498242,0.003000,0.002000,0.001000
-0.498047,0.002000,0.003000,0.001000
-0.497852,0.003000,0.003000,0.001000
-0.497656,0.002000,-0.001000,0.003000
-0.497461,0.003000,0.001000,0.000000
-0.497266,0.003000,0.002000,0.002000
-0.497070,0.002000,0.003000,0.000000
-0.496875,0.001000,0.002000,0.002000
-0.496680,0.002000,-0.001000,0.000000
-0.496484,0.004000,0.002000,0.001000
-0.496289,0.002000,0.002000,0.000000
-0.496094,0.001000,0.002000,0.002000
-0.495898,0.003000,0.000000,0.002000
-0.495703,0.002000,0.001000,0.002000
-0.495508,0.002000,0.002000,0.001000
-0.495312,0.002000,0.002000,0.001000
-0.495117,0.002000,0.001000,0.001000
-0.494922,0.001000,0.001000,0.002000
-0.494727,0.002000,0.003000,0.000000
-0.494531,0.002000,0.002000,0.002000
-0.494336,0.002000,0.001000,0.002000
-0.494141,0.001000,0.000000,0.001000
-0.493945,0.003000,0.003000,0.002000
-0.493750,0.001000,0.002000,0.001000
-0.493555,0.002000,0.000000,0.002000
-0.493359,0.003000,0.001000,0.001000
-0.493164,0.002000,0.001000,0.002000
-0.492969,0.002000,0.004000,0.000000
-0.492773,0.002000,0.002000,0.002000
-0.492578,0.003000,0.000000,0.002000
-0.492383,0.002000,0.001000,0.002000
-0.492188,0.002000,0.004000,0.002000
-0.491992,0.002000,0.002000,0.001000
-0.491797,0.002000,0.000000,0.001000
-0.491602,0.002000,0.001000,0.002000
-0.491406,0.002000,0.003000,0.002000
-0.491211,0.003000,0.002000,0.001000
-0.491016,0.002000,0.001000,0.001000
-0.490820,0.002000,0.002000,0.001000
-0.490625,0.002000,0.002000,0.001000
-0.490430,0.001000,0.002000,0.001000
-0.490234,0.003000,0.001000,0.001000
-0.490039,0.003000,0.001000,0.001000
-0.489844,0.002000,0.003000,0.001000
-0.489648,0.002000,0.001000,0.002000
-0.489453,0.001000,0.001000,0.002000
-0.489258,0.002000,0.002000,0.001000
-0.489062,0.003000,0.002000,0.000000
-0.488867,0.002000,0.001000,0.001000
-0.488672,0.003000,0.003000,0.002000
-0.488477,0.002000,0.003000,0.002000
-0.488281,0.001000,0.001000,0.001000
-0.488086,0.002000,0.002000,0.001000
-0.487891,0.003000,0.003000,0.001000
-0.487695,0.003000,0.002000,0.002000
-0.487500,0.002000,0.001000,0.001000
-0.487305,0.002000,0.001000,0.000000
-0.487109,0.001000,0.001000,0.000000
-0.486914,0.002000,0.001000,0.001000
-0.486719,0.003000,0.000000,0.002000
-0.486523,0.002000,0.000000,0.000000
-0.486328,0.002000,0.001000,0.002000
-0.486133,0.001000,0.002000,0.001000
-0.485938,0.003000,0.002000,0.001000
-0.485742,0.004000,0.001000,0.001000
-0.485547,0.002000,0.002000,0.002000
-0.485352,0.003000,0.003000,0.001000
-0.485156,0.002000,0.002000,0.000000
-0.484961,0.002000,0.001000,0.001000
-0.484766,0.002000,0.001000,0.002000
-0.484570,0.003000,0.003000,0.001000
-0.484375,0.002000,0.003000,0.002000
-0.484180,0.003000,0.000000,0.002000
-0.483984,0.002000,0.001000,0.001000
-0.483789,0.001000,0.003000,0.001000
-0.483594,0.002000,0.003000,0.001000
-0.483398,0.002000,0.002000,0.002000
